Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=e396ea9b7f6446795d77fcb5910e432c&SERIES_KEY=42.FM.B.IT.USD.DS.SC.ITGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.IT.USD.DS.SC.ITGVTS5.HST
,"ITALY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality,obs. comment
2021-02-04,85.5050000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-03,87.7880000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-02,95.5040000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-02-01,96.2370000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-29,98.9140000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-28,100.8780000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-27,100.8990000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-26,99.9460000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-25,103.8810000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-22,106.9170000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-21,100.5880000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-20,98.7580000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-19,97.7500000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-18,101.6970000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-15,99.6570000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-14,104.6930000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-13,97.1820000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-12,97.0950000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-11,94.5700000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-08,92.7160000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-07,96.0410000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-06,96.3560000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-05,97.5710000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-04,97.3530000,Normal value (A),Not for publication, restricted for internal use only (N),
2021-01-01,97.9880000,Normal value (A),Not for publication, restricted for internal use only (N),
